mag_threshold,signal_window,vol_scale,vol_window,total_return,ann_return,ann_vol,sharpe,max_drawdown,win_rate,n_trades,total_cost_pct
0.0075,1,False,0,1143.7867,0.7067,0.2928,2.4135,-0.259,0.5294,634,230.6
0.005,1,False,0,838.9768,0.6671,0.2919,2.2851,-0.321,0.5222,920,346.2
0.01,1,False,0,353.9771,0.5616,0.291,1.93,-0.2718,0.5211,495,169.8
0.003,1,False,0,311.6546,0.5466,0.2919,1.8724,-0.3299,0.5204,1203,459.8
0.005,1,True,60,54.1163,0.3557,0.2026,1.7562,-0.2483,0.4483,3182,438.76
0.005,1,True,10,60.5336,0.3671,0.209,1.7561,-0.2481,0.4492,3162,447.96
0.005,1,True,20,54.5835,0.3566,0.2064,1.7279,-0.2681,0.4468,3175,443.67
0.0075,1,True,60,48.7045,0.3451,0.2039,1.6926,-0.2359,0.449,3178,385.09
0.0075,1,True,20,49.8667,0.3475,0.2077,1.673,-0.2569,0.449,3171,388.57
0.0075,1,True,10,52.2192,0.3521,0.211,1.6692,-0.2621,0.4518,3139,390.59
