mag_threshold,signal_window,vol_scale,vol_window,total_return,ann_return,ann_vol,sharpe,max_drawdown,win_rate,n_trades,total_cost_pct
0.0075,1,False,0,1143.7867,0.7067,0.2928,2.4135,-0.259,0.5294,634,230.6
0.005,1,False,0,838.9768,0.6671,0.2919,2.2851,-0.321,0.5222,920,346.2
0.01,1,False,0,353.9771,0.5616,0.291,1.93,-0.2718,0.5211,495,169.8
0.003,1,False,0,311.6546,0.5466,0.2919,1.8724,-0.3299,0.5204,1203,459.8
0.005,1,True,60,54.1163,0.3557,0.2026,1.7562,-0.2483,0.4483,3182,438.76
0.005,1,True,10,60.5336,0.3671,0.209,1.7561,-0.2481,0.4492,3162,447.96
0.005,1,True,20,54.5835,0.3566,0.2064,1.7279,-0.2681,0.4468,3175,443.67
0.0075,1,True,60,48.7045,0.3451,0.2039,1.6926,-0.2359,0.449,3178,385.09
0.0075,1,True,20,49.8667,0.3475,0.2077,1.673,-0.2569,0.449,3171,388.57
0.0075,1,True,10,52.2192,0.3521,0.211,1.6692,-0.2621,0.4518,3139,390.59
0.0075,2,False,0,181.8363,0.4849,0.2951,1.6435,-0.3825,0.5231,621,223.0
0.003,2,True,60,67.2455,0.3779,0.2319,1.6296,-0.2868,0.4671,2648,381.3
0.003,2,True,10,67.7211,0.3786,0.2371,1.5969,-0.318,0.4675,2564,390.21
0.003,2,True,20,63.3368,0.3717,0.2349,1.5823,-0.3101,0.4687,2620,385.4
0.005,2,True,60,54.5153,0.3565,0.2299,1.5503,-0.2511,0.4634,2654,355.75
0.003,1,True,10,39.0933,0.3234,0.209,1.5473,-0.2793,0.4502,3165,495.77
0.01,2,False,0,138.8761,0.455,0.2952,1.5415,-0.2883,0.521,508,177.4
0.003,1,True,20,35.6187,0.3143,0.2061,1.5253,-0.2701,0.4492,3175,488.54
0.005,2,True,10,53.9695,0.3554,0.235,1.5123,-0.2715,0.4632,2572,362.45
0.0075,2,True,60,53.6048,0.3548,0.2349,1.5105,-0.3243,0.4678,2651,334.27
0.005,2,True,20,52.0898,0.3519,0.233,1.5103,-0.2566,0.4643,2627,358.96
0.002,2,True,60,49.8742,0.3475,0.2317,1.5001,-0.2867,0.4617,2649,387.22
0.003,1,True,60,31.6168,0.3028,0.2026,1.4943,-0.258,0.4498,3183,482.46
0.0,2,True,60,49.2883,0.3463,0.2321,1.4922,-0.2778,0.459,2656,398.71
0.003,2,False,0,113.9654,0.4335,0.2923,1.4829,-0.461,0.5178,938,352.6
0.002,1,False,0,109.4051,0.4291,0.2924,1.4678,-0.3189,0.5099,1359,523.0
0.0,2,True,10,49.9916,0.3477,0.2369,1.4677,-0.3293,0.4575,2574,410.48
0.002,2,True,10,48.9971,0.3457,0.2366,1.461,-0.338,0.4621,2566,397.62
0.002,2,True,20,47.2332,0.3421,0.2346,1.4578,-0.3138,0.4631,2621,391.88
0.0075,3,False,0,105.9978,0.4257,0.2933,1.4515,-0.3353,0.5158,559,195.8
0.0,2,True,20,46.6631,0.3408,0.2349,1.4508,-0.3009,0.4597,2632,403.83
0.0075,2,True,20,48.3812,0.3445,0.2379,1.4477,-0.3227,0.4686,2616,336.05
0.0075,2,True,10,47.0679,0.3417,0.2398,1.4248,-0.3298,0.4665,2571,339.09
0.002,1,True,20,26.6252,0.2865,0.2056,1.3933,-0.2932,0.4423,3176,507.78
0.005,2,False,0,84.2775,0.4014,0.2907,1.3808,-0.5041,0.5168,773,282.6
0.002,1,True,10,27.1119,0.2882,0.2088,1.3801,-0.3112,0.4423,3165,518.11
0.0075,3,True,60,41.7807,0.3299,0.2429,1.3581,-0.2487,0.4749,2280,287.27
0.002,1,True,60,23.3289,0.2741,0.2021,1.3561,-0.2895,0.4432,3183,500.97
0.0075,3,True,10,43.6229,0.3342,0.2474,1.3509,-0.2572,0.4777,2203,288.66
0.0075,3,True,20,41.5817,0.3294,0.2447,1.346,-0.2501,0.4786,2249,288.56
0.01,2,True,60,33.2899,0.3077,0.235,1.3094,-0.247,0.4672,2663,316.98
0.01,2,True,20,30.7727,0.3002,0.2381,1.2606,-0.2462,0.4678,2623,316.82
0.01,2,True,10,28.698,0.2936,0.24,1.2229,-0.24,0.4642,2566,318.69
0.0,1,True,20,17.6276,0.2486,0.2038,1.2195,-0.2966,0.4366,3189,530.19
0.0,1,True,10,17.5326,0.2481,0.207,1.1986,-0.3383,0.4366,3176,541.31
